audit,strategy,model,metric,value,ci_low,ci_high,n
insurance_denial,unawareness_proxy_removal,gradient_boosting,accuracy,0.7228464419475655,0.6704119850187266,0.7790262172284644,267
insurance_denial,unawareness_proxy_removal,gradient_boosting,auc,0.7543485579620695,,,267
insurance_denial,unawareness_proxy_removal,gradient_boosting,f1,0.6696428571428571,0.5970821249204216,0.744655245072614,267
insurance_denial,in_processing,logistic_regression,accuracy,0.5617977528089888,0.50187265917603,0.6199438202247189,267
insurance_denial,in_processing,logistic_regression,auc,0.5334418134889463,,,267
insurance_denial,in_processing,logistic_regression,f1,0.5375494071146245,0.46022465437788024,0.5992644965360159,267
insurance_denial,in_processing,random_forest,accuracy,0.6666666666666666,0.6142322097378277,0.721067415730337,267
insurance_denial,in_processing,random_forest,auc,0.6670687913814387,,,267
insurance_denial,in_processing,random_forest,f1,0.6276150627615064,0.5619443082655161,0.6953618320610687,267
insurance_denial,in_processing,gradient_boosting,accuracy,0.7153558052434457,0.6609550561797752,0.7715355805243446,267
insurance_denial,in_processing,gradient_boosting,auc,0.7159129166199079,,,267
insurance_denial,in_processing,gradient_boosting,f1,0.6666666666666666,0.6008050847457627,0.7384533143264433,267
insurance_denial,post_processing,logistic_regression,accuracy,0.6853932584269663,0.6367041198501873,0.7415730337078652,267
insurance_denial,post_processing,logistic_regression,auc,,,,267
insurance_denial,post_processing,logistic_regression,f1,0.6181818181818182,0.5462740384615384,0.6916862009689013,267
insurance_denial,post_processing,random_forest,accuracy,0.6853932584269663,0.6329588014981273,0.7453183520599251,267
insurance_denial,post_processing,random_forest,auc,,,,267
insurance_denial,post_processing,random_forest,f1,0.58,0.5025110521662246,0.6652272727272727,267
insurance_denial,post_processing,gradient_boosting,accuracy,0.7153558052434457,0.6647003745318352,0.7752808988764045,267
insurance_denial,post_processing,gradient_boosting,auc,,,,267
insurance_denial,post_processing,gradient_boosting,f1,0.6806722689075629,0.6132672955974842,0.7534264150943396,267
